Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
BUYBASE TURİZM ANONİM ŞİRKETİ;İstanbul;İş Analisti;Hibrit;2023
HEPİYİ SİGORTA ANONİM ŞİRKETİ;İstanbul;Sağlık Sigortaları İş Analisti;İş Yerinde;2022
HEPİYİ SİGORTA ANONİM ŞİRKETİ;İstanbul;İş Analisti;İş Yerinde;2023
Kazancı Holding;İstanbul;İş Analisti;İş Yerinde;2022
Grafton;İstanbul;Yapı Kredi Faktoring İş Analisti;İş Yerinde;2023
Yapı Kredi;İstanbul;İş Analisti;İş Yerinde;2024
Amerikan Hastanesi;İstanbul;İş Analisti (Ticari Bankacılık);İş Yerinde;2024
Türk Ekonomi Bankası A.Ş.;İstanbul;İş Analizi (Teknik);İş Yerinde;2022
Taha Giyim San. Ve Tic. A.Ş.;İstanbul;Kıdemli İş Analisti;Hibrit;2022
PORT KARGO VE LOJISTIK ANONIM SIRKETI;İstanbul;Senıor Busıness Analyst;İş Yerinde;2024
VeriPark;İzmir;Senior Business Analyst;İş Yerinde;2024
Dönmez Debriyaj San. ve Tic. A.Ş.;İstanbul;Kıdemli İş Analisti (Tedarik Zinciri Süreçleri);İş Yerinde;2023
Dünya Varlık Yönetim A.Ş.;İstanbul;Kıdemli İş Analisti;Hibrit;2022
CMV TEKNOLOJİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İstanbul;Kıdemli İş Analisti;İş Yerinde;2021
Sincanlı;İstanbul;İş Analist Uzman Yardımcısı;Uzaktan / Remote;2024
SFS DANIŞMANLIK BİLGİ İŞLEM SAN.VE DIŞ TİCARET A.Ş;Ankara;İş Analist Uygulama Uzman Yardımcısı;Uzaktan / Remote;2021
Koton;İstanbul;Uluslararası İş Analisti;Uzaktan / Remote;2021
Sesasis Bilgi Teknolojileri;İzmir;İş Analiz Uzmanı;Hibrit;2023
Aras Kargo;İstanbul;BT Proje ve Müşteri Entegrasyon Yönetimi Uzmanı;İş Yerinde;2021
TCE EGE Konteyner Terminal İşl. A.Ş.;İstanbul;İş Analizi ve Raporlama Uzmanı;İş Yerinde;2024
Akbank T.A.Ş Mensupları Tekaüt Sandığı Vakfı;İstanbul;İş Analizi ve Raporlama Uzmanı;İş Yerinde;2023
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;İstanbul;İş Analizi ve Bütçeleme Uzmanı;Hibrit;2022
Koton;İstanbul;İş Analisti ve Proje Yöneticisi (Tedarik);Hibrit;2023
Allianz Sigorta A.Ş.;İstanbul;Business Transformation Analyst;Hibrit;2024
Demirören Medya Grubu;İstanbul;İş Analisti;İş Yerinde;2021
MNG Kargo Yurtiçi ve Yurtdışı Taşımacılık A.Ş.;İstanbul;Operasyonel Uygulamalar İş Analisti Uzmanı;İş Yerinde;2022
MAKBUL KURUYEMİŞ;İstanbul;İş Analisti Uzmanı;Hibrit;2023
MNG Kargo Yurtiçi ve Yurtdışı Taşımacılık A.Ş.;Ankara;İş Analisti Uzmanı;İş Yerinde;2022
İnnova Bilişim Çözümleri A.Ş.;Ankara;İş Planlama Uzmanı;İş Yerinde;2021
TCHEALTH BİLGİ TEKNOLOJİLERİ ANONİM ŞİRKETİ;İstanbul;Süreç Analisti;İş Yerinde;2023
SmartICT Bilişim A.Ş;İstanbul;Sistem/Gereksinim Analisti;İş Yerinde;2022
OPTİİM İŞ ÇÖZÜMLERİ A.Ş;Kocaeli;Senior/Ekspert Sistem Analist ve Test Mühendisi;İş Yerinde;2022
Koton;İzmir;Sistem Analisti;İş Yerinde;2024
Sompo Sigorta A.Ş.;Tekirdağ;Sistem Analisti;Hibrit;2022
Parsan Makina Parçaları San. A.Ş.;İstanbul;SAP Sistem Analisti;Hibrit;2024
Atlas Mutuel Sigorta;Sakarya;Sistem Analisti;İş Yerinde;2022
ARTESA KUMAŞ SAN. VE DIŞ TİC. A.Ş.;Osmaniye;Sistem Analisti;Uzaktan / Remote;2024
Arvato Lojistik Anonim Şirketi;İstanbul;Sr. Wms System Analyst;İş Yerinde;2024
Şenpiliç Gıda Sanayi A.Ş;İstanbul;SAP İş Ortağı;Hibrit;2022
ABC Deterjan San. Tic. A.Ş;İstanbul;SAP İş Analisti;Hibrit;2021
Koton;İstanbul;Kıdemli Sistem Analisti;İş Yerinde;2024
EMAA SİGORTA A.Ş.;Kocaeli;Sistem Analisti Yöneticisi;Hibrit;2021
Unico Sigorta A.Ş.;Kocaeli;Kıdemli Sistem Analisti;İş Yerinde;2024
Grup Florence Nightingale Hastaneleri;Manisa;Hbys Destek Uzmanı;İş Yerinde;2021
F8 Bilişim Ve Danışmanlık Hizmetleri Ltd. Şti;İstanbul;IFS ERP Muhasebe Uygulama Danışmanı;İş Yerinde;2021
F8 Bilişim Ve Danışmanlık Hizmetleri Ltd. Şti;İstanbul;ERP Application Consultant;Uzaktan / Remote;2023
Bosch Termoteknik Isıtma ve Klima San. Tic. A.Ş.;İzmir;Join Our Growing R&D Team - General Application;İş Yerinde;2021
FEMSAN ELEKTRİK MOTORLARI SANAYİ VE TİCARET A.Ş.;İzmir;Test Sistemleri Tasarım Uzmanı;Hibrit;2022
FEMSAN ELEKTRİK MOTORLARI SANAYİ VE TİCARET A.Ş.;İzmir;Test Sistemleri Yöneticisi;Hibrit;2024
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İstanbul;Uzman Test Sistemleri Mühendisi;Hibrit;2022
OTELLERCOM TURİZM HİZMETLERİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Ürün Analiz Uzmanı;İş Yerinde;2023
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İstanbul;Test Sistemleri Mühendisi;İş Yerinde;2024
Teknosa İç ve Dış Ticaret A.Ş.;İstanbul;Test Analyst;İş Yerinde;2023
Poleks Gıda San. ve Dış Tic. A.Ş.;İstanbul;İş Geliştirme Analisti;İş Yerinde;2021
Çevre Endüstriyel Analiz San. Ve Tic. A.Ş;İstanbul;Kimyager Analist;Uzaktan / Remote;2022
EnginSoft Turkey;İzmir;Plm/Bom Analyst;Hibrit;2022
S.G.S. SÜPERVİSE GÖZETME ETÜD KONTROL SERVİSLERİ A.Ş.;İstanbul;Analist;İş Yerinde;2021
SGS Supervise Gözetme Etüd Kontrol Servisleri A.Ş.;İstanbul;Vardiyalı Laboratuvar Analisti;İş Yerinde;2022
Intertek Test Hizmetleri A.Ş.;İstanbul;Kimya Laboratuvarı Analisti;İş Yerinde;2023
DIGITURK;İstanbul;Oracle Erp/Ebs Lojistik Analisti;Uzaktan / Remote;2024
Ray Sigorta A.Ş.;İstanbul;Analist;İş Yerinde;2023
Sompo Sigorta A.Ş.;İstanbul;Yrd. Kurumsal Tarife ve Uw Analitiği Yöneticisi;İş Yerinde;2022
Proline Bilişim Sistemleri ve Tic. A.Ş.;Ankara;Analist;İş Yerinde;2021
BİLİM İLAÇ SANAYİİ VE TİCARET A.Ş.;Tekirdağ;Kalite Kontrol Analisti;Hibrit;2024
Manpower;İstanbul;Know Your Customer (Kyc) Analyst (Banking);İş Yerinde;2021
Deutsche Bank A.Ş.;İstanbul;Branch Operations Analyst;İş Yerinde;2024
LİDER PETFOOD YEM SANAYİ VE TİCARET ANONİM ŞİRKETİ;İzmir;Analist;İş Yerinde;2023
Vizyoneks Bilgi Teknolojileri A.Ş.;İstanbul;Analist;İş Yerinde;2021
ACCOR TURKEY İstanbul Merkez Ofis;İstanbul;Cluster Revenue Analyst;Uzaktan / Remote;2023
Login Bilgisayar Yazılımları  A.Ş.;İstanbul;ERP Uygulama Danışmanı;İş Yerinde;2023
Atasun Optik Perakende Tic. A.Ş.;İstanbul;Veri Analisti;İş Yerinde;2023
Viennalife Emeklilik ve Hayat A.Ş.;İstanbul;Ticari Veri Analisti;Uzaktan / Remote;2023
Dirk Rossmann Mağazacılık;İstanbul;Veri Analisti;İş Yerinde;2023
İstinye Üniversitesi;İstanbul;Veri Analisti ve Raporlama Uzmanı;Hibrit;2024
CRONOM BİLİŞİM VE YAZILIM TEKNOLOJİLERİ SAN.VE TİC. LTD. ŞTİ.;İstanbul;Veri Analisti;İş Yerinde;2021
Demir Export;Ankara;Veri Analisti;İş Yerinde;2024
ABDÜLKADİR KARAVİL GRUP;İstanbul;Veri Analisti Uzman Yardımcısı;İş Yerinde;2024
TÜRK EĞİTİM DERNEĞİ;Ankara;Ürün Yöneticisi;Uzaktan / Remote;2023
Doğanlar Mobilya Grubu imalat San.ve Tic. A.Ş;İstanbul;ERP Uzman / Uzman Yardımcısı;İş Yerinde;2022
Lila Kağıt San. ve Tic A.Ş.;İstanbul;ERP Uzman Yardımcısı;İş Yerinde;2022
SİNTEK İNŞAAT ENDÜSTRİYEL TESİSLER ANONİM ŞİRKETİ;Ankara;Ürün Yönetimi Uzmanı;İş Yerinde;2021
Vatan Bilgisayar San. Tic. A.Ş.;İstanbul;Ürün Yöneticisi Asistanı;Hibrit;2021
Endeks Bilişim Sanayi Ve Dış Ticaret A.Ş;İstanbul;İş Süreçleri Analisti;İş Yerinde;2022
Bayrak Lastik Sanayi ve Ticaret Anonim Şirketi;Bursa;İş Süreçleri Yönetimi Yetkili Uzmanı;İş Yerinde;2021
Borçelik;Bursa;Bpm Uzmanı;Uzaktan / Remote;2024
ISS Tesis ve Yönetim Hizmetleri A.Ş.;İstanbul;Yazılım Test Uzmanı;Hibrit;2022
NARPOS YAZILIM MÜHENDİSLİK BİLGİSAYAR VE DANIŞMANLIK TİCARET ANONİM ŞİRKETİ;İstanbul;Senior Software Test Engineer (Techcareer.Net);İş Yerinde;2024
Kariyer.net;İstanbul;Software Test Engineer;Uzaktan / Remote;2023
Kariyer.net;İstanbul;Yazılım Test Uzmanı;İş Yerinde;2022
NETAŞ TELEKOMÜNİKASYON ANONİM ŞİRKETİ;İstanbul;Yazılım Test Uzmanı;İş Yerinde;2023
METASİS TEKNOLOJİ TİCARET LTD. ŞTİ.;İstanbul;Proje Koordinasyon ve Geliştirme Yöneticisi;İş Yerinde;2022
Alarko Turizm Grubu;İstanbul;Business Solutions Application Executive;İş Yerinde;2022
Teknosa İç ve Dış Ticaret A.Ş.;İstanbul;Software Quality Assurance Lead;Uzaktan / Remote;2021
Teknosa İç ve Dış Ticaret A.Ş.;İzmir;Proje Destek Uzmanı / Uzman Yardımcısı;İş Yerinde;2024
Kale Havacılık San. A.Ş.;Kocaeli;Tobacco Processing New Graduate;İş Yerinde;2024
JTI Türkiye;İstanbul;Technical Product Specialist;İş Yerinde;2022
Kartal Kimya San. ve Tic. A.Ş.;Bursa;Hava Deniz Kargo Süreç Geliştirme Uzman Yardımcısı;İş Yerinde;2022
Mars Lojistik Grup AŞ.;Ankara;Dijital Dönüşüm Uzmanı;İş Yerinde;2022
Bayrak Lastik Sanayi ve Ticaret Anonim Şirketi;İstanbul;Dijital Dönüşüm Uzmanı;İş Yerinde;2021
Firma Bilgisi Gizli;İstanbul;SAP CRM Danışmanı;İş Yerinde;2022
NTT DATA BUSINESS SOLUTIONS;İstanbul;Risk Management Specialist/ Supervisor;İş Yerinde;2023
vdf grup;İstanbul;E-Ticaret Dijital Projeler Uzmanı;İş Yerinde;2024
EVİDEA;İstanbul;Dijital Proje Uzmanı;Hibrit;2022
Logo Yazılım San Ve Tic A.Ş.;Kocaeli;Kıdemli Ürün Uzmanı;Hibrit;2023
AKSA JENERATÖR;İstanbul;Ürün Destek Müdürü;İş Yerinde;2022
ASELSAN ELEKTRONİK SAN. VE TİC. A.Ş.;Ankara;Ürün Destek Mühendisi;İş Yerinde;2024
SOM A.Ş ( SOM CİVATA );Ankara;ERP Uygulama Sorumlusu;Hibrit;2022
Tectone Teknoloji San. Tic. A.Ş (Awox);Mersin;Ürün Destek Mühendisi;İş Yerinde;2021
TATİLBUDUR SEYAHAT ACENTELİĞİ VE TURİZM ANONİM ŞİRKETİ;İstanbul;Test Uzmanı;Hibrit;2021
TD ELEKTRONİK;İstanbul;Test ve Paketleme Elemanı;Hibrit;2023
Logo Yazılım San Ve Tic A.Ş.;İzmir;Test Uzmanı;İş Yerinde;2023
Logo Yazılım San Ve Tic A.Ş.;Ankara;Test Uzmanı;Hibrit;2023
NURHAS MOBİLYA SAN. VE TİC. A.Ş. NDESİGN;Bursa;ERP Uzmanı;Hibrit;2022
Altan Hidrolik Müh. San. Tic. A.Ş.;İstanbul;ERP Uzmanı;Uzaktan / Remote;2024
Deka Elektronik San. ve Tic. A.Ş;İstanbul;Canias ERP Uzmanı;İş Yerinde;2022
Santur Turizm A.Ş;Antalya;ERP Uzmanı;İş Yerinde;2021
CANTEK SOĞUTMA A.Ş.;Antalya;ERP Uzmanı;Hibrit;2021
Chakra Mağazacılık A.Ş.;İstanbul;ERP Uzmanı;Hibrit;2021
Egeria Yazılım ve Danışmanlık Hizmetleri;İzmir;ERP Satış Uzmanı;Hibrit;2022
Gürok;İstanbul;ERP Specialist / Senior Specialist;İş Yerinde;2021
Turkuaz Sağlık;İstanbul;ERP Uzmanı;İş Yerinde;2024
Astor Enerji A.Ş.;Ankara;Uzman ERP Sistem Mühendisi;İş Yerinde;2023
ONKA ELEKTRİK MALZEMELERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kocaeli;ERP Uzmanı;İş Yerinde;2021
Alarko Holding;İstanbul;ERP Uzmanı;İş Yerinde;2022
TCI Aircraft Interiors;İstanbul;ERP Developer;Hibrit;2021
Göknur Gıda Maddeleri Enerji İmalat İthalat İhr.;Ankara;ERP Uzmanı;İş Yerinde;2021
Bahçeşehir Üniversitesi | Wissen;İstanbul;Yetiştirilmek Üzere Web ve Mobil Uzmanı;Hibrit;2023
MERTOĞLU KENT MOBİLYALARI A.Ş.;Ankara;ERP Uzmanı;İş Yerinde;2023
Damat-Tween;İstanbul;ERP Uzmanı;İş Yerinde;2023
ABDULKADİR ÖZCAN OTOMOTİV LASTİK SANVE TİC.A.Ş.;Ankara;ERP Uzmanı;Hibrit;2023
Elit Çikolata ve Şekerleme San. A.Ş.;İstanbul;ERP Uzmanı;Hibrit;2024
Beta Kimya Sanayi ve Ticaret A.Ş.;Kocaeli;ERP Uzmanı;İş Yerinde;2024
Türkiye Noterler Birliği;Ankara;Test Uzmanı (Otomasyon);Hibrit;2022
Saat ve Saat Mağazacılık A.Ş.;İstanbul;Kıdemli ERP Sistem Uzmanı;İş Yerinde;2024
Kar Gıda İnşaat Spor Malzemeleri Giyim San. Tic. L;İstanbul;ERP Uzmanı;İş Yerinde;2022
Kıvanç Group;İstanbul;ERP Uzmanı;İş Yerinde;2022
BALMY TÜKETİM ÜRÜNLERİ SANAYİ ANONİM ŞİRKETİ;İstanbul;ERP Uzmanı;İş Yerinde;2021
BİLFEN ŞİRKETLER TOPLULUĞU;İstanbul;ERP Uzmanı;İş Yerinde;2024
Çukurova Kimya Endüstrisi A.Ş.;Manisa;ERP Uzmanı;İş Yerinde;2024
LİNKAS TEKNOLOJİ SANAYİ TİCARET A.Ş;Ankara;ERP Uzmanı;İş Yerinde;2023
FİBROSAN A.Ş.;İzmir;ERP ve Veri Analiz Uzmanı (Üretim);Hibrit;2022
Can Makina Elektrik A.Ş.;İstanbul;ERP Uzmanı;İş Yerinde;2023
Kahramanmaraş Kağıt San. Tic. A.Ş;Kahramanmaraş;ERP Uzmanı- Kahramanmaraş;İş Yerinde;2021
HARMİAD;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
BS Bizim Servis Personel Danışmanlık Hizmetleri A.Ş;İstanbul;Proje Yöneticisi/Tesis;İş Yerinde;2023
Asis;İstanbul;Senior International Project Manager;İş Yerinde;2022
FONRİ TEKNOLOJİ A.Ş;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2022
BAŞARSOFT BİLGİ TEKNOLOJİLERİ A.Ş.;Ankara;Proje Yöneticisi / Yönetmeni;Hibrit;2021
BORUSAN ENBW ENERJİ YATIRIMLARI VE ÜRETİM A.Ş. - BORUSAN ENBW ENERJİ;İstanbul;Assistant Project Manager (EV Charging Station);Hibrit;2024
İnfo Yatırım Anonim Şirketi;İstanbul;Proje Yöneticisi / Yönetmeni;Hibrit;2024
Pozitera Perakende Geliştirme Hizmetleri Tic. A.Ş.;İstanbul;Proje Yöneticisi (Dayanıklı Tüketim Malları);Hibrit;2021
Sertrans Uluslararası Nakliyat ve Tic. A.Ş;İstanbul;E-Ticaret Proje Yöneticisi;İş Yerinde;2024
YEO Teknoloji Enerji ve Endüstri  A.Ş.;İstanbul;Proje Yöneticisi;Uzaktan / Remote;2024
Bahçeşehir Okulları;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2024
Destek Bilgisayar ve İletişim Hizmetleri Ticaret A.Ş.;Ankara;Proje Yöneticisi / Yönetmeni;Hibrit;2024
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Test Uzmanı;Uzaktan / Remote;2021
LST Yazılım Elektronik ve İletişim Teknolojileri İnş. Turz. Tic. A.Ş.;Ankara;Analiz ve Test Uzmanı;İş Yerinde;2021
Gümüş Arslan Genel Makina San. Tic. Ltd. Şti.;Bursa;Proje Yöneticisi;İş Yerinde;2024
JOHNSON CONTROLS;İstanbul;Proje Yöneticisi (Avrupa Yakası);Hibrit;2023
AŞ HAN YEMEK GIDA VE TURİZM SAN. TİC. A.Ş.;Hatay;Toplu Yemek Üretimi Proje Yöneticisi (Hatay);İş Yerinde;2024
AŞ HAN YEMEK GIDA VE TURİZM SAN. TİC. A.Ş.;İstanbul ;Toplu Yemek Üretimi Proje Yöneticisi (Catering);Uzaktan / Remote;2021
MARTAŞ YEMEK VE GIDA SAN.TİC. A.Ş.;Bursa;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
MARTAŞ YEMEK VE GIDA SAN.TİC. A.Ş.;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
Mikrolink Bilişim San.Tic. A.Ş;Antalya;Proje Yöneticisi;Uzaktan / Remote;2021
RST;Ankara;Proje Yöneticisi;Uzaktan / Remote;2022
FMS HİZMET YÖNETİMİ ANONİM ŞİRKETİ;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
ATABEY EĞİTİM KURUMLARI;İstanbul;Proje Yöneticisi / Yönetmeni;Uzaktan / Remote;2024
N2mobil Takip Sistemleri A.Ş;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
Dünya Varlık Yönetim A.Ş.;İstanbul;Proje Yöneticisi;Hibrit;2023
SARDUNYA GIDA MUTFAK İŞLETMELERİ TİC. A.Ş.;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
SARDUNYA GIDA MUTFAK İŞLETMELERİ TİC. A.Ş.;Sakarya;Proje Yöneticisi / Yönetmeni (Sakarya);Uzaktan / Remote;2022
SARDUNYA GIDA MUTFAK İŞLETMELERİ TİC. A.Ş.;İstanbul;Proje Yöneticisi / Yönetmeni (Levent);İş Yerinde;2024
Tohum Türkiye Otizm Erken Tanı ve Eğitim Vakfı;İstanbul;Proje Yöneticisi;Hibrit;2024
İLETİŞİM BİLGİSAYAR YAZILIM SİSTEMLERİ İHRACAT İTHALAT SAN VE TİC.A.Ş;Bursa;Proje Yöneticisi;Hibrit;2023
Kahramanmaraş Kağıt San. Tic. A.Ş;Kütahya;ERP Uzmanı- Kütahya;Hibrit;2021
GARAJ GIDA PAZ. DAN. VE İNŞ. SAN. TİC. A.Ş.;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2022
Ada Denizcilik ve Tersane İşletmeciliği Aş.;İstanbul;ERP Uzmanı;İş Yerinde;2022
Sektöründe Lider Firma;Denizli;Proje Yöneticisi/Denizli;İş Yerinde;2024
Tepe Servis A.Ş;İstanbul;Temizlik Hizmetleri Proje Yöneticisi;Hibrit;2024
marmassistance;İstanbul;Proje Yöneticisi / Yönetmeni;İş Yerinde;2024
Altınbaş Petrol ve Ticaret A.Ş.-Alpet Türkiye;İstanbul;Proje Yöneticisi;İş Yerinde;2022
ÖZEN İPLİK SAN. TİC. A.Ş;İstanbul;Proje Yöneticisi / Yönetmeni ( Key User );Hibrit;2021
İHLAS HOLDİNG A.Ş.;İstanbul;BT Proje Yöneticisi;Uzaktan / Remote;2024
Gizli Firma;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
Weltew Modüler Mobilya;Bursa;Ürün Ağacı ve Maliyetlendirme Uzmanı;İş Yerinde;2021
FİRMANET YAZILIM VE TEKNOLOJİ A.Ş.;Ankara;ERP Sistemi Analiz ve Test Uzmanı;İş Yerinde;2022
RENEVO ENERJİ TİCARET ANONİM ŞİRKETİ;İstanbul;Proje Yöneticisi / Yönetmeni;Uzaktan / Remote;2021
Netpak Ambalaj Aş.;Ankara;Canias ERP Uzmanı;İş Yerinde;2024
ŞA-RA ENERJİ İNŞ.TİC.VE SAN.A.Ş.;İstanbul ;Proje Yöneticisi;İş Yerinde;2023
ORHUN YAZICI;Kocaeli;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
Protan Turkey Yalıtım Sanayi ve Ticaret A.Ş.;İstanbul;ERP Specialist;Hibrit;2022
Adöksan Döküm Sanayi Tic.Ltd.Şti.;İzmir;ERP Uzmanı;İş Yerinde;2022
Kluh Profesyonel Hiz. Tic. A.Ş;Ankara;Proje Yöneticisi / Yönetmeni;Uzaktan / Remote;2022
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;İstanbul;Proje Yöneticisi;İş Yerinde;2022
TUDORS;Tekirdağ;Yapı İşleri ve Proje Yöneticisi;Hibrit;2024
Firma Bilgisi Gizli;Tekirdağ;Proje Yöneticisi / Yönetmeni;Hibrit;2023
Firma Bilgisi Gizli;Bursa;Proje Yöneticisi / Yönetmeni;İş Yerinde;2023
WeHire;Ankara;Proje Yöneticisi;İş Yerinde;2021
Sektörün Öncü Kuruluşu;Ankara;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
Unite Bilgi Teknolojileri;İstanbul;Application Support Specialist;İş Yerinde;2022
KOCAMANLAR ALÜMİNYUMİTHALAT İHRACAT SAN.VE TİC.A.Ş.;Erzurum;Proje Yöneticisi / Yönetmeni;İş Yerinde;2021
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;İstanbul;ERP Uzmanı;Hibrit;2024
ETHIC HR Consulting;Sakarya;Maintenance and Project Executive;Uzaktan / Remote;2023
ES KARİYER DANIŞMANLIK;İstanbul;Yazılım Test Mühendisi(Manuel Test/Test Otomasyon);Hibrit;2021
ICterra Bilgi ve İletişim Teknolojileri San. ve Tic. A.Ş.;İstanbul;Test Mühendisi;Uzaktan / Remote;2023
Koç Bilgi ve Savunma Teknolojileri;Ankara;Yazılım Test Mühendisi;İş Yerinde;2021
MİSYON YATIRIM BANKASI ANONİM ŞİRKETİ;İstanbul;Yazılım Test Mühendisi;İş Yerinde;2024
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;Yazılım Test Mühendisi;Hibrit;2024
CS TECH;Ankara;Sistem Test Mühendisi;İş Yerinde;2021
EnginSoft Turkey;İstanbul;Sistem Test Mühendisi;Uzaktan / Remote;2024
Data Hidrolik Makina Sanayi A.Ş.;İstanbul;ERP Proje Yöneticisi;Hibrit;2023
HİDROKONTROL MAK. SAN. TİC. A.Ş;Ankara;ERP Proje Mühendisi;İş Yerinde;2023
SÜPER FİLM AMBALAJ SAN. VE TİC. A.Ş.;Gaziantep;Sistem Test Mühendisi;İş Yerinde;2022
ÜSTÜNOVA MÜHENDİSLİK VE ARAŞTIRMA GELİŞTİRME ANONİM ŞİRKETİ;İstanbul ;Sistem / Donanım Test Mühendisi;İş Yerinde;2021
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;SAP Modül Uzmanı;İş Yerinde;2021
Diler;İstanbul;SAP PM Danışmanı;İş Yerinde;2021
NTT DATA BUSINESS SOLUTIONS;İstanbul;Kıdemli SAP QM Modül Danışmanı;İş Yerinde;2023
NTT DATA BUSINESS SOLUTIONS;İstanbul;SAP Modül Uzmanı (Fı/Co);Hibrit;2022
Taha Giyim San. Ve Tic. A.Ş.;İstanbul;SAP Modül Sorumlusu;İş Yerinde;2021
Aygaz;İstanbul;SAP Modül Uzmanı;İş Yerinde;2022
Titan2 İc İçtaş İnşaat A.Ş;Mersin;İş Zekası ve Otomasyon Uzman Yardımcısı;İş Yerinde;2024
Bulutistan;İstanbul;Business Intelligence Analyst;İş Yerinde;2021
Gram Equipment Makina San. Tic. Ltd. Şti - Ege Serbest Bölgesi Şubesi;İzmir;Business Intelligence Specialist (Etl);İş Yerinde;2022
Kariyer.net;İstanbul;İş Zekası ve Raporlama Uzmanı;İş Yerinde;2022
Logo Yazılım San Ve Tic A.Ş.;İstanbul;İş Zekası Uzmanı;İş Yerinde;2023
Memorial Sağlık Grubu;İstanbul;Raporlama ve İş Zekası Uzmanı;Hibrit;2024
Işıklar Holding A.Ş.;İstanbul;İş Zekası ve Raporlama Uzmanı;Hibrit;2021
Dirk Rossmann Mağazacılık;İstanbul;İş Zekası Uzmanı;İş Yerinde;2024
Koru Sigorta A.Ş.;İzmir;İş Zekası Uzmanı(Power Bı);İş Yerinde;2023
ALTAY TAŞIT ve OTOMOTİV YEDEK PARÇA SAN. TİC. A.Ş.;İstanbul;İş Zekası ve Raporlama Uzmanı;Uzaktan / Remote;2021
Momentum A.Ş.;Bursa;IT Demand Management & Business Solutions Chief;İş Yerinde;2021
Prysmian Kablo ve Sistemleri A.Ş.;Antalya;İş Zekası Raporlama Uzmanı;Uzaktan / Remote;2022
ODEON TURİZM İŞLETMECİLİĞİ ANONİM ŞİRKETİ - ODEON TOURS;İstanbul;SAP Lojistik & Finansal Modül Danışmanları;İş Yerinde;2024
NTT Data Business Solutions;İstanbul;İş Zekası Uzmanı/Kıdemli Uzmanı;İş Yerinde;2021
Sektöründe Öncü Firma;İstanbul;İş Zekası Uzmanı;İş Yerinde;2024
Unico Sigorta A.Ş.;İstanbul;İş Zekası ve Raporlama Uzmanı;Hibrit;2024
FETİH TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İzmir;İş Zekası Uzmanı / Kıdemli İş Zekası Uzmanı;İş Yerinde;2023
ARKAS HOLDİNG A.Ş.;İstanbul;İş Zekası Kıdemli Uzmanı;İş Yerinde;2022
Aksigorta;İstanbul  ;Agile Coach;Hibrit;2024
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Tedarik Zinciri ve Ürün Yönetimi Mühendisi;İş Yerinde;2024
BRAYTRON ELEKTRİK SANAYİ TİCARET LİMİTED ŞİRKETİ;İstanbul;Ürün Yöneticisi / Yönetmeni;İş Yerinde;2024
OXXO;İstanbul;Ürün Yöneticisi;İş Yerinde;2022
Fotec Enerji Teknolojileri A.Ş;İstanbul;Ürün Yöneticisi / Yönetmeni (Altın Ürün Grubu);İş Yerinde;2021
Atasay Kuyumculuk;İstanbul;Ürün Yöneticisi / Uzman;İş Yerinde;2022
ETB ELEKTRONİK TEKNOLOJİ VE BİLİŞİM HİZMETLERİ SAN;İstanbul;Ürün Yöneticisi;Uzaktan / Remote;2022
Sektöründe Öncü Firma;İstanbul;Ürün Yöneticisi;Hibrit;2023
PORT İÇ VE DIŞ TİCARET A.Ş.;Ankara;Ürün Yöneticisi;İş Yerinde;2022
YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.;İstanbul;İnci Ürün Yöneticisi;İş Yerinde;2022
FLO Mağazacılık;İstanbul;Lotto / Reebok Ürün Yöneticisi;Hibrit;2022
FLO Mağazacılık;İstanbul;Giyim Ürün Yöneticisi;Hibrit;2023
SIEMENS HEALTHCARE SAĞLIK ANONİM ŞİRKETİ;İstanbul;Product Manager;İş Yerinde;2021
